,utm_source,utm_medium,utm_campaign,utm_content,date,goal_add_to_cart,goal_move_to_cart,goal_order_in_cart,goal_pay_success,goal_order_confirmed,new_user,order_amount,order_sum
0,2gis.ru,referral,(not set),0.0,2020-12-29,1,0,0,0,0,1,0,0
1,apps.apple.com,referral,(not set),0.0,2020-12-09,0,0,0,0,0,1,0,0
2,away.vk.com,referral,(not set),0.0,2020-10-01,3,2,2,1,1,6,4,4996
3,away.vk.com,referral,(not set),0.0,2020-10-02,6,4,5,1,3,9,3,3369
4,away.vk.com,referral,(not set),0.0,2020-10-03,3,0,0,0,1,5,0,0
5,away.vk.com,referral,(not set),0.0,2020-10-04,0,0,0,0,0,0,0,0
6,away.vk.com,referral,(not set),0.0,2020-10-05,2,1,3,1,1,6,3,4344
7,away.vk.com,referral,(not set),0.0,2020-10-06,1,0,2,0,0,3,0,0
8,away.vk.com,referral,(not set),0.0,2020-10-07,7,0,0,0,0,17,0,0
9,away.vk.com,referral,(not set),0.0,2020-10-08,11,1,0,0,0,36,0,0
10,away.vk.com,referral,(not set),0.0,2020-10-09,2,2,3,0,0,13,0,0
11,away.vk.com,referral,(not set),0.0,2020-10-10,0,0,0,0,0,4,0,0
12,away.vk.com,referral,(not set),0.0,2020-10-11,2,0,2,0,0,2,0,0
13,away.vk.com,referral,(not set),0.0,2020-10-12,1,0,1,0,0,5,0,0
14,away.vk.com,referral,(not set),0.0,2020-10-13,2,0,4,0,0,3,0,0
15,away.vk.com,referral,(not set),0.0,2020-10-14,1,1,1,0,1,5,0,0
16,away.vk.com,referral,(not set),0.0,2020-10-15,3,2,7,1,0,9,1,1085
17,away.vk.com,referral,(not set),0.0,2020-10-16,8,1,5,0,0,9,0,0
18,away.vk.com,referral,(not set),0.0,2020-10-17,4,2,3,0,0,2,0,0
19,away.vk.com,referral,(not set),0.0,2020-10-18,2,0,2,0,0,6,0,0
20,away.vk.com,referral,(not set),0.0,2020-10-19,1,0,5,0,0,6,0,0
21,away.vk.com,referral,(not set),0.0,2020-10-20,4,1,2,0,0,11,0,0
22,away.vk.com,referral,(not set),0.0,2020-10-21,3,0,3,0,0,2,0,0
23,away.vk.com,referral,(not set),0.0,2020-10-22,2,1,2,0,1,2,0,0
24,away.vk.com,referral,(not set),0.0,2020-10-23,6,1,5,0,0,4,0,0
25,away.vk.com,referral,(not set),0.0,2020-10-24,7,1,5,0,0,14,0,0
26,away.vk.com,referral,(not set),0.0,2020-10-25,12,0,4,1,0,12,3,3393
27,away.vk.com,referral,(not set),0.0,2020-10-26,2,0,2,0,0,5,0,0
28,away.vk.com,referral,(not set),0.0,2020-10-27,15,6,9,1,1,30,6,8322
29,away.vk.com,referral,(not set),0.0,2020-10-28,6,5,9,1,1,23,3,4488
30,away.vk.com,referral,(not set),0.0,2020-10-29,13,1,8,1,2,19,4,4432
31,away.vk.com,referral,(not set),0.0,2020-10-30,6,3,7,2,1,13,8,8056
32,away.vk.com,referral,(not set),0.0,2020-10-31,3,0,2,0,0,6,0,0
33,away.vk.com,referral,(not set),0.0,2020-11-01,4,4,5,0,1,9,0,0
34,away.vk.com,referral,(not set),0.0,2020-11-02,3,1,7,0,0,2,0,0
35,away.vk.com,referral,(not set),0.0,2020-11-03,2,0,3,0,0,8,0,0
36,away.vk.com,referral,(not set),0.0,2020-11-04,5,1,3,1,1,4,5,5950
37,away.vk.com,referral,(not set),0.0,2020-11-05,4,2,2,1,1,4,3,4290
38,away.vk.com,referral,(not set),0.0,2020-11-06,5,1,2,0,1,8,0,0
39,away.vk.com,referral,(not set),0.0,2020-11-07,1,0,1,0,0,3,0,0
40,away.vk.com,referral,(not set),0.0,2020-11-08,3,1,2,0,0,3,0,0
41,away.vk.com,referral,(not set),0.0,2020-11-09,3,0,2,0,0,5,0,0
42,away.vk.com,referral,(not set),0.0,2020-11-10,1,0,5,0,0,7,0,0
43,away.vk.com,referral,(not set),0.0,2020-11-11,4,1,1,0,0,7,0,0
44,away.vk.com,referral,(not set),0.0,2020-11-12,5,4,4,1,1,7,5,7090
45,away.vk.com,referral,(not set),0.0,2020-11-13,9,4,4,0,0,13,0,0
46,away.vk.com,referral,(not set),0.0,2020-11-14,0,0,0,0,0,1,0,0
47,away.vk.com,referral,(not set),0.0,2020-11-15,4,3,4,0,0,13,0,0
48,away.vk.com,referral,(not set),0.0,2020-11-16,7,3,5,3,0,9,7,8284
49,away.vk.com,referral,(not set),0.0,2020-11-17,6,3,3,2,2,12,8,10546
50,away.vk.com,referral,(not set),0.0,2020-11-18,6,2,3,0,0,9,0,0
51,away.vk.com,referral,(not set),0.0,2020-11-19,7,0,0,0,0,7,0,0
52,away.vk.com,referral,(not set),0.0,2020-11-20,5,0,1,0,0,12,0,0
53,away.vk.com,referral,(not set),0.0,2020-11-21,5,3,4,0,1,16,0,0
54,away.vk.com,referral,(not set),0.0,2020-11-22,7,3,3,0,0,14,0,0
55,away.vk.com,referral,(not set),0.0,2020-11-23,8,2,4,0,0,19,0,0
56,away.vk.com,referral,(not set),0.0,2020-11-24,17,7,17,3,2,34,11,14338
57,away.vk.com,referral,(not set),0.0,2020-11-25,19,5,13,1,0,33,4,5544
58,away.vk.com,referral,(not set),0.0,2020-11-26,7,3,9,2,2,17,9,10160
59,away.vk.com,referral,(not set),0.0,2020-11-27,10,2,7,0,0,15,0,0
60,away.vk.com,referral,(not set),0.0,2020-11-28,6,3,4,0,0,18,0,0
61,away.vk.com,referral,(not set),0.0,2020-11-29,4,1,7,1,1,12,4,4724
62,away.vk.com,referral,(not set),0.0,2020-11-30,12,8,13,3,2,30,9,11172
63,away.vk.com,referral,(not set),0.0,2020-12-01,4,3,6,0,0,14,0,0
64,away.vk.com,referral,(not set),0.0,2020-12-02,6,2,2,1,1,9,3,3072
65,away.vk.com,referral,(not set),0.0,2020-12-03,6,3,4,0,0,13,0,0
66,away.vk.com,referral,(not set),0.0,2020-12-04,3,1,2,1,0,7,4,4568
67,away.vk.com,referral,(not set),0.0,2020-12-05,6,2,4,1,1,12,5,6685
68,away.vk.com,referral,(not set),0.0,2020-12-06,0,1,2,0,0,7,0,0
69,away.vk.com,referral,(not set),0.0,2020-12-07,1,1,5,0,0,9,0,0
70,away.vk.com,referral,(not set),0.0,2020-12-08,10,0,0,0,0,20,0,0
71,away.vk.com,referral,(not set),0.0,2020-12-09,7,1,2,0,1,10,0,0
72,away.vk.com,referral,(not set),0.0,2020-12-10,9,1,4,1,0,13,2,2184
73,away.vk.com,referral,(not set),0.0,2020-12-11,8,4,5,3,1,13,13,15529
74,away.vk.com,referral,(not set),0.0,2020-12-12,6,0,3,1,1,7,4,5408
75,away.vk.com,referral,(not set),0.0,2020-12-13,6,1,5,0,0,9,0,0
76,away.vk.com,referral,(not set),0.0,2020-12-14,8,0,2,1,1,15,3,3900
77,away.vk.com,referral,(not set),0.0,2020-12-15,16,4,6,0,0,17,0,0
78,away.vk.com,referral,(not set),0.0,2020-12-16,11,4,11,4,3,10,16,19749
79,away.vk.com,referral,(not set),0.0,2020-12-17,11,2,8,1,2,21,3,3195
80,away.vk.com,referral,(not set),0.0,2020-12-18,8,3,10,0,0,8,0,0
81,away.vk.com,referral,(not set),0.0,2020-12-19,15,4,9,1,1,18,4,4700
82,away.vk.com,referral,(not set),0.0,2020-12-20,15,6,8,1,1,17,4,5352
83,away.vk.com,referral,(not set),0.0,2020-12-21,10,5,8,1,2,7,4,4748
84,away.vk.com,referral,(not set),0.0,2020-12-22,6,3,4,1,0,10,5,6555
85,away.vk.com,referral,(not set),0.0,2020-12-23,3,1,2,0,0,6,0,0
86,away.vk.com,referral,(not set),0.0,2020-12-24,2,1,4,0,0,16,0,0
87,away.vk.com,referral,(not set),0.0,2020-12-25,5,1,3,0,0,10,0,0
88,away.vk.com,referral,(not set),0.0,2020-12-26,5,1,4,0,0,10,0,0
89,away.vk.com,referral,(not set),0.0,2020-12-27,1,0,1,0,0,5,0,0
90,away.vk.com,referral,(not set),0.0,2020-12-28,2,0,4,0,0,6,0,0
91,away.vk.com,referral,(not set),0.0,2020-12-29,2,0,0,0,0,2,0,0
92,away.vk.com,referral,(not set),0.0,2020-12-30,0,0,0,0,0,0,0,0
93,away.vk.com,referral,(not set),0.0,2020-12-31,2,0,0,0,0,2,0,0
94,baidu,organic,(not set),0.0,2020-10-16,0,0,0,0,0,2,0,0
95,baidu,organic,(not set),0.0,2020-10-18,0,0,0,0,0,1,0,0
96,baidu,organic,(not set),0.0,2020-10-24,0,0,0,0,0,2,0,0
97,baidu,organic,(not set),0.0,2020-10-31,0,0,1,0,0,4,0,0
98,baidu,organic,(not set),0.0,2020-11-16,0,0,0,0,0,4,0,0
99,baidu,organic,(not set),0.0,2020-11-23,0,0,0,0,0,1,0,0
100,baidu,organic,(not set),0.0,2020-11-24,0,0,0,0,0,1,0,0
101,baidu,organic,(not set),0.0,2020-11-30,0,0,1,0,0,3,0,0
102,baidu,organic,(not set),0.0,2020-12-06,0,0,0,0,0,2,0,0
103,baidu,organic,(not set),0.0,2020-12-13,0,0,0,0,0,3,0,0
104,baidu,organic,(not set),0.0,2020-12-18,0,0,1,0,0,3,0,0
105,baidu,organic,(not set),0.0,2020-12-20,0,0,1,0,0,4,0,0
106,baidu,organic,(not set),0.0,2020-12-29,0,0,0,0,0,1,0,0
107,bing,organic,(not set),0.0,2020-10-01,1,1,1,0,0,4,0,0
108,bing,organic,(not set),0.0,2020-10-05,1,1,1,0,0,0,0,0
109,bing,organic,(not set),0.0,2020-10-08,1,0,0,0,0,3,0,0
110,bing,organic,(not set),0.0,2020-10-11,1,0,0,0,0,1,0,0
111,bing,organic,(not set),0.0,2020-10-14,1,1,1,1,1,5,3,3411
112,bing,organic,(not set),0.0,2020-10-15,0,0,0,0,1,0,0,0
113,bing,organic,(not set),0.0,2020-10-16,0,0,0,0,1,0,0,0
114,bing,organic,(not set),0.0,2020-10-17,0,0,0,0,1,0,0,0
115,bing,organic,(not set),0.0,2020-10-19,0,0,0,0,1,0,0,0
116,bing,organic,(not set),0.0,2020-10-20,1,0,0,0,1,2,0,0
117,bing,organic,(not set),0.0,2020-10-22,0,0,0,0,1,0,0,0
118,bing,organic,(not set),0.0,2020-10-23,0,0,0,0,0,1,0,0
119,bing,organic,(not set),0.0,2020-10-27,0,0,0,0,1,0,0,0
120,bing,organic,(not set),0.0,2020-10-29,0,0,0,0,0,1,0,0
121,bing,organic,(not set),0.0,2020-10-31,0,0,0,0,0,1,0,0
122,bing,organic,(not set),0.0,2020-11-02,0,0,0,0,0,1,0,0
123,bing,organic,(not set),0.0,2020-11-09,1,1,1,0,0,0,0,0
124,bing,organic,(not set),0.0,2020-11-11,0,0,0,0,0,1,0,0
125,bing,organic,(not set),0.0,2020-11-12,1,0,0,0,0,2,0,0
126,bing,organic,(not set),0.0,2020-11-18,1,0,0,0,0,2,0,0
127,bing,organic,(not set),0.0,2020-11-21,0,0,0,0,0,1,0,0
128,bing,organic,(not set),0.0,2020-11-25,3,0,0,0,0,3,0,0
129,bing,organic,(not set),0.0,2020-11-26,1,1,1,1,1,5,3,4323
130,bing,organic,(not set),0.0,2020-12-01,1,0,0,0,0,1,0,0
131,bing,organic,(not set),0.0,2020-12-02,1,0,0,0,0,2,0,0
132,bing,organic,(not set),0.0,2020-12-07,1,0,0,0,0,2,0,0
133,bing,organic,(not set),0.0,2020-12-08,1,0,0,0,0,2,0,0
134,bing,organic,(not set),0.0,2020-12-19,0,0,0,0,0,1,0,0
135,bing,organic,(not set),0.0,2020-12-20,1,0,0,0,0,2,0,0
136,bing,organic,(not set),0.0,2020-12-21,0,0,0,0,0,1,0,0
137,bing,organic,(not set),0.0,2020-12-25,0,0,0,0,0,1,0,0
138,bing,organic,(not set),0.0,2020-12-27,0,0,0,0,0,2,0,0
139,blogger,(not set),bloggercampaignname_1,0.0,2020-12-02,1,0,0,0,0,2,0,0
140,blogger,(not set),bloggercampaignname_1,0.0,2020-12-15,0,0,0,0,0,0,0,0
141,blogger,post,bloggercampaignname_1100,0.0,2020-11-16,6,1,2,1,0,37,4,5760
142,blogger,post,bloggercampaignname_1100,0.0,2020-11-17,5,0,1,3,0,33,15,20393
143,blogger,post,bloggercampaignname_1100,0.0,2020-11-18,0,1,1,1,0,19,5,6785
144,blogger,post,bloggercampaignname_1100,0.0,2020-11-19,4,0,1,0,0,13,0,0
145,blogger,post,bloggercampaignname_1100,0.0,2020-11-20,1,0,1,1,1,12,3,4059
146,blogger,post,bloggercampaignname_1100,0.0,2020-11-21,3,1,2,1,0,15,4,5300
147,blogger,post,bloggercampaignname_1100,0.0,2020-11-22,6,2,3,0,0,18,0,0
148,blogger,post,bloggercampaignname_1100,0.0,2020-11-23,2,1,6,1,1,2,4,4468
149,blogger,post,bloggercampaignname_1100,0.0,2020-11-24,1,0,0,0,0,1,0,0
150,blogger,post,bloggercampaignname_1100,0.0,2020-11-25,2,0,4,0,0,8,0,0
151,blogger,post,bloggercampaignname_1100,0.0,2020-11-26,1,0,1,0,0,1,0,0
